Profile Link,Score,Rank
https://github.com/anubhav94,2103495,None
https://github.com/jteplitz,2060455,None
https://github.com/Jinjiang,2044322,None
https://github.com/acmetech,2028060,None
https://github.com/danielsogl,1978926,None
https://github.com/laardee,1950954,None
https://github.com/dwieeb,1900171,None
https://github.com/lipis,1892856,None
https://github.com/caitp,1859435,None
https://github.com/GeoffreyBooth,1856025,None
https://github.com/billfine,1825086,None
https://github.com/tomscholz,1814200,Top 10
https://github.com/alexdebrie,1793619,None
https://github.com/timhaines,1773535,None
https://github.com/saas786,1757652,None
https://github.com/andriijas,1757652,None
https://github.com/pjbaron,1728084,Top 10
https://github.com/hansl,1658415,None
https://github.com/davidjb,1622448,None
https://github.com/boulox,1622448,None
https://github.com/klaussner,1608555,None
https://github.com/jenniferfell,1608160,None
https://github.com/chembu,1608160,None
https://github.com/phanan,1606253,None
https://github.com/clarkdo,1606253,None
https://github.com/chrisvfritz,1606253,None
https://github.com/blake-newman,1606253,None
https://github.com/S-YOU,1606253,None
https://github.com/zimme,1526065,None
https://github.com/possibilities,1526065,None
https://github.com/vanillajonathan,1487244,None
https://github.com/mrmrs,1487244,None
https://github.com/Varunram,1487244,None
https://github.com/mquandalle,1484820,None
https://github.com/jbavari,1473602,None
https://github.com/Justineo,1460230,None
https://github.com/wKoza,1457395,None
https://github.com/tinayuangao,1457395,None
https://github.com/andrewseguin,1407140,None
https://github.com/dandv,1392408,None
https://github.com/DanielRuf,1368624,Top 10
https://github.com/JLHwung,1354458,Top 10
https://github.com/wilfra,1352040,None
https://github.com/Lausselloic,1352040,None
https://github.com/zol,1278595,None
https://github.com/mgechev,1256375,None
https://github.com/StephenFluin,1256375,None
https://github.com/zodern,1237350,None
https://github.com/vladgolubev,1227213,None
https://github.com/caniszczyk,1216836,None
https://github.com/jakemac53,1206120,None
https://github.com/alfaproject,1206120,None
https://github.com/AmitMY,1202149,None
https://github.com/blakeembrey,1171720,Top 10
https://github.com/sodatea,1168184,None
https://github.com/kaorun343,1168184,None
https://github.com/HcySunYang,1168184,None
https://github.com/radekmie,1154860,None
https://github.com/NoahDragon,1133322,Top 10
https://github.com/neilhem,1081632,None
https://github.com/jsdf,1081632,None
https://github.com/jodytate,1081632,None
https://github.com/jacobrask,1081632,None
https://github.com/iamandrewluca,1081632,None
https://github.com/chiraggmodi,1081632,None
https://github.com/alekitto,1081632,None
https://github.com/TechDavid,1081632,None
https://github.com/Synchro,1081632,None
https://github.com/nathan-muir,1072370,None
https://github.com/vojtajina,1055355,None
https://github.com/svdgraaf,1038411,None
https://github.com/KaelWD,1022161,None
https://github.com/ttowncompiled,1005100,None
https://github.com/Toxicable,1005100,None
https://github.com/johncmckim,975477,None
https://github.com/dougmoscrop,975477,None
https://github.com/alexindeed,975477,None
https://github.com/paulstelzer,969475,None
https://github.com/wangsai,946428,None
https://github.com/vickash,946428,None
https://github.com/smaboshe,946428,None
https://github.com/purwandi,946428,None
https://github.com/ghusse,946428,None
https://github.com/cgunther,946428,None
https://github.com/buraktuyan,946428,None
https://github.com/slaskis,946302,Top 10
https://github.com/dr-dimitru,907390,None
https://github.com/kwalrath,854335,None
https://github.com/josephperrott,854335,None
https://github.com/ayazhafiz,854335,None
https://github.com/PascalPrecht,854335,None
https://github.com/nicka,849609,None
https://github.com/alexcasalboni,849609,None
https://github.com/orblazer,813216,None
https://github.com/vulvulune,813216,None
https://github.com/wrightlabs,811224,None
https://github.com/thomaswelton,811224,None
https://github.com/thekondrashov,811224,None
https://github.com/jamiebuilds,811224,None
https://github.com/haydenbleasel,811224,None
https://github.com/eratzlaff,811224,None
https://github.com/dudebout,811224,None
https://github.com/davethegr8,811224,None
https://github.com/aristath,811224,None
https://github.com/aavmurphy,811224,None
https://github.com/html5cat,783655,None
https://github.com/brianneisler,755208,None
https://github.com/copleykj,742410,None
https://github.com/georgiee,736977,None
https://github.com/ramonornela,736801,None
https://github.com/abennouna,736801,None
https://github.com/dsonet,730115,None
https://github.com/slang25,723741,None
https://github.com/shanehandley,723741,None
https://github.com/jthomas,723741,None
https://github.com/jonsharratt,723741,None
https://github.com/ciaranj,720992,Top 10
https://github.com/TedSander,703570,None
https://github.com/CaerusKaru,703570,None
https://github.com/hassankhan,692274,None
https://github.com/geofflancaster,692274,None
https://github.com/franciscocpg,692274,None
https://github.com/rexrainbow,686151,None
https://github.com/trumbitta,676020,None
https://github.com/tierra,676020,None
https://github.com/prateekgoel,676020,None
https://github.com/petetnt,676020,None
https://github.com/peterblazejewicz,676020,None
https://github.com/nicole,676020,None
https://github.com/martinbean,676020,None
https://github.com/lucascono,676020,None
https://github.com/ggam,676020,None
https://github.com/frabrunelle,676020,None
https://github.com/florianlacreuse,676020,None
https://github.com/budnik,676020,None
https://github.com/bradly,676020,None
https://github.com/bastienmoulia,676020,None
https://github.com/ansman,676020,None
https://github.com/akalicki,676020,None
https://github.com/SSPMark,676020,None
https://github.com/Fabadiculous,660738,None
https://github.com/lacolaco,653315,None
https://github.com/bowenni,653315,None
https://github.com/pixelpicosean,635325,None
https://github.com/joostfarla,629340,None
https://github.com/matheusrocha89,620464,None
https://github.com/ajmark,616828,Top 10
https://github.com/chalin,603060,None
https://github.com/alfonso-presa,603060,None
https://github.com/znck,584092,None
https://github.com/ulivz,584092,None
https://github.com/shasharoman,584092,None
https://github.com/nickmessing,584092,None
https://github.com/imyzf,584092,None
https://github.com/fnlctrl,584092,None
https://github.com/toinevk,577430,None
https://github.com/skirunman,577430,None
https://github.com/RobertLowe,577430,None
https://github.com/Primigenus,577430,None
https://github.com/Fabs,577430,None
https://github.com/toshi0607,566406,None
https://github.com/kbariotis,566406,None
https://github.com/naokiy,552840,Top 10
https://github.com/goderbauer,552805,None
https://github.com/FrederikSchlemmer,552805,None
https://github.com/klouie93,544260,Top 10
https://github.com/aphex,542906,None
https://github.com/Manduro,542906,None
https://github.com/3dd13,542906,None
https://github.com/wojtask9,540816,None
